grado, fecha, institucion, lugar, detalles
Doctorate in Statistics, 2019-2024 (expected), Universidad Nacional de Rosario, "Rosario, Argentina", I develop software to make it easier to do Bayesian statistics with \href{https://aloctavodia.github.io/}{\underline{Dr. Osvaldo Martin}}.
Bachelors in Statistics, 2014-2019, Universidad Nacional de Rosario, "Rosario, Argentina", GPA: \textbf{9.17}.
